2026-03-21 14:45:25 | INFO     | src.training.bias_injection |   Step 250: bias=0.5633, ppl=14.05, loss=5.7956
2026-03-21 14:46:29 | INFO     | src.training.bias_injection |   Step 275: bias=0.5633, ppl=14.11, loss=6.2544
2026-03-21 14:47:33 | INFO     | src.training.bias_injection |   Step 300: bias=0.5672, ppl=14.18, loss=5.5442
2026-03-21 14:48:37 | INFO     | src.training.bias_injection |   Step 325: bias=0.5645, ppl=14.28, loss=5.7167
2026-03-21 14:49:40 | INFO     | src.training.bias_injection |   Step 350: bias=0.5646, ppl=14.30, loss=4.6656
2026-03-21 14:50:42 | INFO     | src.training.bias_injection |   Step 375: bias=0.5656, ppl=14.25, loss=6.3862
2026-03-21 14:51:46 | INFO     | src.training.bias_injection |   Step 400: bias=0.5691, ppl=14.40, loss=6.5970
2026-03-21 14:52:49 | INFO     | src.training.bias_injection |   Step 425: bias=0.5697, ppl=14.43, loss=4.2120
2026-03-21 14:53:52 | INFO     | src.training.bias_injection |   Step 450: bias=0.5690, ppl=14.35, loss=6.9639
2026-03-21 14:54:56 | INFO     | src.training.bias_injection |   Step 475: bias=0.5766, ppl=14.53, loss=4.5040
2026-03-21 14:56:00 | INFO     | src.training.bias_injection |   Step 500: bias=0.5753, ppl=14.48, loss=7.5989
2026-03-21 14:56:01 | INFO     | src.training.bias_injection | Injection complete: qwen2.5-1.5b/bn/seed456 (20 checkpoints)
