2026-03-21 13:56:41 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed123/step325
2026-03-21 13:57:43 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed123/step350
2026-03-21 13:58:45 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed123/step375
2026-03-21 13:59:47 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed123/step400
2026-03-21 14:00:48 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed123/step425
2026-03-21 14:01:49 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed123/step450
2026-03-21 14:02:51 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed123/step475
2026-03-21 14:03:52 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed123/step500
2026-03-21 14:03:52 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed123/final_biased
2026-03-21 14:04:56 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed456/step25
2026-03-21 14:05:59 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed456/step50
2026-03-21 14:06:59 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed456/step75
2026-03-21 14:08:02 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed456/step100
2026-03-21 14:09:06 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed456/step125
2026-03-21 14:10:09 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed456/step150
2026-03-21 14:11:12 | INFO     | src.training.checkpoint_manager |   Checkpoint saved: /root/Hysteresis_Bias/results/phase1_injection/mbert/bn/seed456/step175
